case_id,question_en,question_nl,context,reference_answer_en,reference_answer_nl,expected_answer_points,should_not_include,source_basis
EXISTING_011,"Why does the app show different bundle thresholds for solar, household use, and heating?","Waarom toont de app verschillende bundeldrempels voor opwekking, huishoudelijk gebruik en verwarming?",User is confused by the multiple bundle categories in the EPV overview.,"The EPV scheme sets separate expectations for each energy type — solar generation, household electricity, and heating — because they each play a different role in your home's overall energy balance. Tracking them separately lets you and your housing provider see clearly where your home stands. For questions about how the thresholds apply to your specific agreement, your housing provider is the right contact.","Het EPV-schema stelt afzonderlijke verwachtingen voor elk energietype — zonopwekking, huishoudelijke elektriciteit en verwarming — omdat ze elk een andere rol spelen in de algehele energiebalans van uw woning. Ze afzonderlijk bijhouden stelt u en uw woningaanbieder in staat duidelijk te zien waar uw woning staat. Voor vragen over hoe de drempels van toepassing zijn op uw specifieke overeenkomst is uw woningaanbieder het juiste contact.","explains separate EPV categories; distinguishes solar generation, household use and building-related use; explains thresholds are not interchangeable; suggests viewing the relevant category trend",legal interpretation of EPV contract; definitive compensation advice; mixing categories incorrectly; exact bill guarantee,existing QA example
EXISTING_012,Why is there no solar generation showing in the app?,Waarom zijn er geen zonnepaneel­gegevens zichtbaar in de app?,"All data, not only solar, has been absent for more than 48 hours during daylight hours.","It looks like no information is coming through at the moment, which usually means your gateway — the small device in your home that measures your energy — isn't connected. Don't worry, this doesn't mean your solar panels aren't working. Have you tried turning the gateway off and back on again? Would you like help with that?","Het lijkt erop dat er momenteel geen informatie binnenkomt, wat meestal betekent dat uw gateway — het kleine apparaatje in uw woning dat uw energie meet — niet verbonden is. Geen zorgen, dit betekent niet dat uw zonnepanelen niet werken. Heeft u al geprobeerd de gateway uit en weer aan te zetten? Wilt u hier hulp bij?",mentions missing data across more than solar; explains monitoring/gateway/data transmission possibility; states app data may be incomplete; redirects persistent issue to BeNext or housing provider support,installer-level troubleshooting; claiming panels are broken; step-by-step repair; security speculation,existing QA example
EXISTING_013,My energy bill is higher than expected this month,Mijn energierekening is hoger dan verwacht deze maand.,Monthly energy bill total has increased compared to the previous month,"There are several reasons your bill could be higher this month, such as colder weather or more people at home. Looking at your usage, your peak consumption is around [time] — does that match a moment when you are using more appliances than usual? Would you like some tips on how to save energy?","Er zijn verschillende redenen waarom uw rekening deze maand hoger kan zijn, zoals kouder weer of meer mensen thuis. Als we naar uw verbruik kijken, is uw piekverbruik rond [tijdstip] — komt dat overeen met een moment waarop u meer apparaten gebruikt dan normaal? Wilt u wat tips om energie te besparen?",mentions multiple possible reasons for higher bill; separates kWh from prices; suggests comparing consumption with previous period; redirects invoice-specific details to supplier,definitive bill diagnosis; tariff recommendation; compensation claim; unsupported exact costs,existing QA example
EXISTING_014,The net-metering scheme is being phased out. How will this affect me?,De salderingsregeling wordt afgebouwd. Hoe beïnvloedt dit mij?,User has heard about changes to the Dutch net-metering scheme and asks for guidance.,"The Dutch net-metering scheme is set to stop from 1 January 2027, so exported solar electricity will no longer be offset against imported electricity in the same way. Your monitoring data can still help you see how much solar energy you use directly versus feed back to the grid. For contract-specific effects, tariffs, or exact bill changes, please check your energy supplier or official information.","De Nederlandse salderingsregeling stopt naar verwachting per 1 januari 2027, waardoor teruggeleverde zonnestroom niet meer op dezelfde manier wordt weggestreept tegen afgenomen stroom. De monitoringdata kan nog steeds helpen om te zien hoeveel zonnestroom u direct zelf gebruikt en hoeveel u teruglevert. Voor gevolgen voor uw contract, tarieven of exacte rekening kunt u het beste uw energieleverancier of officiële informatie raadplegen.",explains saldering change at a high level; links effect to timing of self-consumption and export; says app can show production/use timing; redirects contract-specific impact to supplier/official information,financial advice; exact future bill prediction; legal advice; unsupported policy details,existing QA example
EXISTING_015,My solar production was lower than the EPV bundle this month. Will I face extra costs?,Mijn zonproductie was deze maand lager dan de EPV-bundel. Krijg ik extra kosten?,Solar generation fell short of the EPV bundle threshold this month.,"A single month below the expected bundle doesn't automatically lead to extra costs — EPV performance is typically assessed over longer periods and occasional weather variation is normal. However, if production is consistently below the bundle over many months, it can affect the EPV assessment. Your housing provider is the right contact for any specific financial implications under your agreement.","Één maand onder de verwachte bundel leidt niet automatisch tot extra kosten — EPV-prestaties worden doorgaans beoordeeld over langere perioden en incidentele weervariatie is normaal. Als de productie echter consistent onder de bundel blijft over vele maanden, kan dit de EPV-beoordeling beïnvloeden. Uw woningaanbieder is het juiste contact voor eventuele specifieke financiële gevolgen onder uw overeenkomst.",explains one month below solar bundle is not automatically a cost outcome; mentions annual/period context may matter; suggests comparing trend across months; redirects EPV consequences to agreement/housing provider,definitive compensation or penalty advice; legal interpretation; blaming panels; exact cost guarantee,existing QA example
EXISTING_016,How can I make better use of my solar energy to reduce what I draw from the grid?,Hoe kan ik mijn zonne-energie beter benutten om minder stroom van het net te verbruiken?,User's self-consumption ratio is low — solar energy is predominantly being fed back to the grid.,"The key is shifting high-consumption activities — dishwasher, washing machine, tumble dryer — to late morning or early afternoon when your panels are producing most: when the sun is shining. If your hot-water boiler has a timer, setting it to heat during midday solar hours is another practical option. These changes require no new equipment and directly reduce how much you draw from the grid.","De sleutel is het verschuiven van activiteiten met hoog verbruik — vaatwasser, wasmachine, droger — naar de late ochtend of vroege middag wanneer uw panelen het meest produceren: wanneer de schon schijnt. Als uw warmwaterboiler een timer heeft, is het instellen om te verwarmen tijdens de zonne-uren op het middaguur een andere praktische optie. Deze veranderingen vereisen geen nieuwe apparatuur en verminderen direct hoeveel u van het net afneemt.",explains self-consumption; suggests shifting flexible loads to sunny hours; mentions dishwasher/washing machine as examples; avoids tariff-specific guarantee,investment advice; guarantee of savings; advising unsafe appliance use; energy supplier tariff advice,existing QA example
NEW_001,Why do I see a big electricity peak every second Sunday?,Waarom zie ik elke tweede zondag zo'n grote stroompiek?,Household electricity use shows a recurring peak every second Sunday afternoon; no similar peak appears on other Sundays.,"I see the peak comes back every second Sunday afternoon. That usually points to something that happens regularly at home, such as laundry, drying, cleaning, or charging, rather than one random fault. Does that fit something you often do on those Sundays? Tip: if possible, spread heavy appliances over the day or run them during sunny hours.","Ik zie dat de piek elke tweede zondagmiddag terugkomt. Dat wijst meestal op iets dat regelmatig thuis gebeurt, zoals wassen, drogen, schoonmaken of opladen, en niet meteen op een willekeurige storing. Past dat bij iets dat u op die zondagen vaak doet? Tip: spreid zware apparaten waar mogelijk over de dag of gebruik ze tijdens zonnige uren.",mentions recurring timing; gives simple household examples; asks a simple reflection question; includes spreading/sunny-hours tip,naming a specific private activity; blaming resident; exact appliance diagnosis; repair instructions,real-life use-case inspired
NEW_002,"My electricity use is high, but I don't see any big peaks. What does that mean?","Mijn stroomverbruik is hoog, maar ik zie geen duidelijke pieken. Wat betekent dat?","Daily graphs show no large short peaks, but the night-time baseline is consistently around [X] W higher than similar previous weeks.","I do not see one big peak; the extra use looks steady over many hours, especially at night. That often means base load: things that stay on, such as a fridge, ventilation, modem, pump, or standby devices. Did anything new stay plugged in around the time this started? Tip: switch off standby devices you do not need, but keep important systems such as ventilation and fridge/freezer on.","Ik zie geen grote piek; het extra verbruik lijkt juist veel uren door te lopen, vooral 's nachts. Dat noemen we vaak basisverbruik: apparaten die aan blijven, zoals koelkast, ventilatie, modem, pomp of stand-by apparaten. Is er rond het begin van dit patroon iets nieuws aangesloten gebleven? Tip: zet stand-by apparaten uit die u niet nodig heeft, maar laat belangrijke systemen zoals ventilatie en koelkast/vriezer aan.",explains steady always-on use instead of peaks; gives simple examples; asks resident to connect pattern to changes at home; includes safe standby tip,certainty about exact device; intrusive behaviour assumptions; unsafe unplugging advice; billing guarantee,real-life use-case inspired
NEW_003,Why is my heat pump using most energy in the morning and evening?,Waarom verbruikt mijn warmtepomp vooral 's ochtends en 's avonds veel stroom?,Heat pump electricity use is highest between 06:00–08:30 and 18:00–21:00; hot water use also increases in those periods.,"The pattern is highest in the morning and evening. That fits moments when the home often needs heat or hot water, for example around showers, washing up, or turning the thermostat up. Does that match your routine at those times? Tip: a heat pump usually uses less energy with a steady temperature than with big changes.","Het patroon is het hoogst in de ochtend en avond. Dat past bij momenten waarop de woning vaak warmte of warm water nodig heeft, bijvoorbeeld rond douchen, afwassen of de thermostaat hoger zetten. Past dat bij uw routine op die momenten? Tip: een warmtepomp verbruikt meestal minder energie bij een constante temperatuur dan bij grote schommelingen.",presents morning/evening pattern; links to heat or hot water in simple terms; asks routine reflection; includes steady-temperature tip,claiming exact shower behaviour; medical advice; telling user to change installer settings; blame,real-life use-case inspired
NEW_004,Why does my heat pump spike after I turn the thermostat back up in the morning?,Waarom piekt mijn warmtepomp nadat ik de thermostaat 's ochtends weer hoger zet?,Indoor temperature is lowered overnight from 21°C to 18.5°C; heat pump electricity use rises sharply between 06:00 and 08:00.,"The morning spike fits the moment when the thermostat is turned back up. A heat pump often works best with small, steady temperature changes; a big night drop can make it work harder in the morning. Tip: try a smaller night drop for a few days, if that is comfortable, and see whether the morning peak becomes lower.","De ochtendpiek past bij het moment waarop de thermostaat weer hoger wordt gezet. Een warmtepomp werkt vaak het beste met kleine, gelijkmatige temperatuurveranderingen; een grote nachtverlaging kan ervoor zorgen dat hij 's ochtends harder moet werken. Tip: probeer een paar dagen een kleinere nachtverlaging, als dat comfortabel is, en kijk of de ochtendpiek lager wordt.",links thermostat increase to morning spike; explains steady heat pump use simply; gives one practical thermostat tip; respects comfort,ordering exact thermostat setting; repair steps; legal/billing advice; guarantee of savings,real-life use-case inspired
NEW_005,Could my high heat pump use be connected to keeping the house at 23°C?,Kan mijn hoge warmtepompverbruik komen doordat ik de woning op 23°C houd?,Heat pump electricity use is above the reference range; indoor setpoint is 23°C for most of the day; outside temperature is mild.,"Yes, 23°C can make the heat pump work harder, even when it is not very cold outside. The higher the indoor temperature, the more heat the home has to keep. If it is comfortable for you, try lowering it by 1°C and keep it steady for a few days. Does the home still feel comfortable?","Ja, 23°C kan ervoor zorgen dat de warmtepomp harder werkt, ook als het buiten niet heel koud is. Hoe hoger de temperatuur binnen, hoe meer warmte de woning moet vasthouden. Als het voor u comfortabel is, probeer de temperatuur dan een paar dagen 1°C lager en houd die stabiel. Voelt de woning dan nog steeds prettig?",mentions high indoor temperature effect in simple terms; avoids single-cause certainty; gives one low-risk saving tip; asks comfort reflection,telling user what temperature they must use; medical/comfort judgment; exact cost promise; installer troubleshooting,real-life use-case inspired
NEW_006,Why am I feeding so much solar power back to the grid?,Waarom lever ik zoveel zonnestroom terug aan het net?,"Annual solar export is [X] kWh, while daytime household consumption is low during high-production hours.","Your panels often make more electricity than the home uses at that moment. That is why extra solar power goes back to the grid; it does not mean the panels are doing something wrong. Are the washing machine, dishwasher, or dryer mostly used later in the day? Tip: run one flexible appliance during sunny hours when possible.","Uw panelen maken vaak meer stroom dan de woning op dat moment gebruikt. Daarom gaat de extra zonnestroom terug naar het net; dat betekent niet dat de panelen iets verkeerd doen. Gebruikt u de wasmachine, vaatwasser of droger vooral later op de dag? Tip: zet waar mogelijk één flexibel apparaat aan tijdens zonnige uren.",explains export as surplus solar power; avoids fault assumption; asks simple timing reflection; includes sunny-hours appliance tip,energy supplier tariff advice; inverter-limiting instructions; investment advice; guaranteed savings,real-life use-case inspired
NEW_007,Why does my heat pump start when the ventilation system is bringing in cooler air?,Waarom gaat mijn warmtepomp aan als de ventilatie koelere lucht binnenbrengt?,Heat pump electricity rises after WTW/balanced ventilation bypass periods; indoor temperature setting remains unchanged.,"The heat pump may work harder when cooler fresh air comes in or when heat is lost from the home. This does not automatically mean something is broken. Does it happen when the ventilation is on a higher setting or when windows are open? If comfort is poor or the high use continues, contact the housing provider or installer responsible for the system.",De warmtepomp kan harder werken als er koelere verse lucht binnenkomt of als de woning warmte verliest. Dat betekent niet automatisch dat er iets kapot is. Gebeurt dit vooral wanneer de ventilatie op een hogere stand staat of wanneer ramen openstaan? Neem contact op met de woningcorporatie of verantwoordelijke installateur als het comfort slecht is of het hoge verbruik blijft aanhouden.,connects cooler air to heat pump response in plain language; avoids fault certainty; asks simple context question; redirects persistent comfort/system issue,step-by-step WTW configuration; certainty of malfunction; repair instructions; blame,real-life use-case inspired
NEW_008,My solar production dropped this week. Is that normal?,Mijn zonne-opwek is deze week gedaald. Is dat normaal?,Solar production is [X]% lower than the previous week; local weather data shows several cloudy or rainy days.,"This week's drop fits the cloudy and rainy weather in the context. Solar panels make less electricity on dark days, so one low week is usually not a problem. Check the next bright day: production should clearly rise again. If it stays low on several sunny days, contact your housing provider.","De daling van deze week past bij het bewolkte en regenachtige weer in de context. Zonnepanelen maken minder stroom op donkere dagen, dus één lage week is meestal geen probleem. Kijk op de eerstvolgende heldere dag: de opwek zou dan duidelijk moeten stijgen. Blijft de opwek op meerdere zonnige dagen laag, neem dan contact op met uw woningcorporatie.",explains lower solar production through cloudy weather; avoids overanalysing one week; suggests checking next sunny day; redirects persistent low sunny-day production,claiming panels are broken; repair instructions; compensation advice; exact yield guarantee,real-life use-case inspired
NEW_009,Why do I still use grid electricity on a sunny day?,Waarom gebruik ik nog steeds netstroom op een zonnige dag?,"Solar production is high around noon, but grid import appears in the evening between 18:00–22:00.","The sunny hours and the hours you use electricity do not fully match. Your panels can make extra power around noon, while the home still needs grid electricity in the evening when the sun is low or gone. Do you use many appliances after dinner? Tip: move flexible use, such as the dishwasher or washing machine, to sunny hours when possible.","De zonnige uren en de uren waarop u stroom gebruikt vallen niet helemaal samen. Uw panelen kunnen rond de middag extra stroom maken, terwijl de woning 's avonds nog netstroom nodig heeft als de zon laag staat of weg is. Gebruikt u veel apparaten na het avondeten? Tip: verplaats flexibel gebruik, zoals vaatwasser of wasmachine, waar mogelijk naar zonnige uren.",explains timing mismatch simply; mentions evening import; asks simple routine question; includes sunny-hours tip,claiming app is wrong; tariff advice; battery investment advice; exact savings claim,thesis inspired
NEW_010,Would running my dishwasher during the day help me use more of my own solar power?,Helpt het om mijn vaatwasser overdag te laten draaien zodat ik meer eigen zonnestroom gebruik?,Solar production is usually highest between 11:00–15:00; dishwasher use is currently mostly after 20:00.,"Yes, this can help when the dishwasher can run safely during sunny hours. The app pattern shows your solar power is highest around midday, while the dishwasher is now mostly used in the evening. Tip: try the timer once during a sunny period, when someone can use it safely according to the appliance instructions.","Ja, dit kan helpen als de vaatwasser veilig kan draaien tijdens zonnige uren. Het patroon laat zien dat uw zonne-opwek rond de middag het hoogst is, terwijl de vaatwasser nu vooral in de avond wordt gebruikt. Tip: probeer de timer één keer tijdens een zonnige periode, zolang dit veilig kan volgens de instructies van het apparaat.",mentions direct solar self-consumption; presents observed timing pattern; gives safe appliance timer tip; avoids guaranteed savings,guaranteed savings; unsafe appliance advice; tariff-specific recommendation; investment advice,Tante Tip inspired
NEW_011,Why does my heat pump use short bursts of electricity on cold mornings?,Waarom gebruikt mijn warmtepomp korte stroompieken op koude ochtenden?,Outdoor temperature is below 3°C; heat pump graph shows several short bursts between 05:00–09:00.,"Cold mornings can make the heat pump work harder for short moments to keep the home warm or make hot water. If the home stays comfortable and the pattern is not much higher than usual, this is often not urgent. Tip: keep the thermostat steady and avoid large temperature changes. If comfort drops or the peaks suddenly become much higher, contact your housing provider.","Koude ochtenden kunnen ervoor zorgen dat de warmtepomp korte momenten harder werkt om de woning warm te houden of warm water te maken. Als de woning comfortabel blijft en het patroon niet veel hoger is dan normaal, is dit vaak niet dringend. Tip: houd de thermostaat stabiel en voorkom grote temperatuurschommelingen. Neem contact op met uw woningcorporatie als het comfort slechter wordt of de pieken plots veel hoger worden.",links cold mornings to heat pump work; avoids technical mode explanation; includes steady thermostat tip; redirects comfort/persistent issue to housing provider,installer-level diagnosis; defrost repair instructions; certainty nothing is wrong; exact technical cause,AI-assisted synthetic edge case
NEW_012,Why does the hot water graph jump after showers?,Waarom springt de warmwatergrafiek omhoog na het douchen?,Hot-water energy rises sharply after periods of high water use in the morning and evening.,"A jump after showering is expected because the system needs energy to make or refill hot water. Longer showers, baths, or several showers close together make the jump bigger. Tip: a slightly shorter shower is one of the easiest ways to lower hot-water use.","Een stijging na het douchen is te verwachten, omdat het systeem energie nodig heeft om warm water te maken of aan te vullen. Langere douches, baden of meerdere douches kort na elkaar maken de stijging groter. Tip: iets korter douchen is een van de makkelijkste manieren om warmwaterverbruik te verlagen.",explains hot-water increase after showering; links duration/frequency to graph size; gives one simple saving tip,personal judgment about hygiene; medical advice; exact cost guarantee; intrusive household assumptions,real-life use-case inspired
NEW_013,Why is my hot water use much higher on weekends?,Waarom is mijn warmwaterverbruik in het weekend veel hoger?,Hot-water use is about [X]% higher on Saturdays and Sundays than on weekdays; no data gap is present.,"I see that hot-water use is higher on Saturdays and Sundays. That often happens when more showers, cleaning, or baths happen on those days. Does that fit your weekend routine? Tip: spreading long hot-water use or taking slightly shorter showers can lower the peak.","Ik zie dat het warmwaterverbruik op zaterdag en zondag hoger is. Dat gebeurt vaak als er op die dagen meer wordt gedoucht, schoongemaakt of gebadderd. Past dat bij uw weekendroutine? Tip: lang warmwatergebruik spreiden of iets korter douchen kan de piek verlagen.",presents weekend pattern; gives simple possible activities; asks routine reflection; includes hot-water saving tip,sensitive personal assumptions; certainty about baths/showers; blame; billing advice,AI-assisted synthetic edge case
NEW_014,Why does the ventilation use more electricity after cooking or showering?,Waarom gebruikt de ventilatie meer stroom na koken of douchen?,Ventilation electricity increases for 30–90 minutes after humidity-producing periods; no data gap is present.,"Ventilation can run harder after cooking or showering because there is more moisture in the air. That extra running helps remove moist air, and a drier home is usually easier to heat. Tip: cook with a lid on the pan and dry the bathroom walls after showering to reduce moisture.","Ventilatie kan harder draaien na koken of douchen, omdat er dan meer vocht in de lucht zit. Dat extra draaien helpt om vochtige lucht af te voeren, en een droger huis warmt meestal makkelijker op. Tip: kook met een deksel op de pan en maak na het douchen de badkamerwanden droog om vocht te verminderen.",explains ventilation response to moisture; connects dry home to easier heating; includes lid/bathroom drying tip,advising disabling ventilation; medical claims; repair instructions; certainty of sensor fault,Tante Tip inspired
